,title,rating,comment,date
45,Stay stiiizy,5.0 stars,Just left with some goodies!! And picked up this dope dodger blue battery!!,"September 09, 2019"
46,Bomb,5.0 stars,bomb asf,"August 13, 2019"
47,Where can I find one,5.0 stars,No dispensaries near me sell em help 😓I want this color,"August 06, 2019"
48,There over rated,5.0 stars,It’s a new product on market. Expensive! So Anyways to get high without paying a high price.,"July 15, 2019"
49,go Dodgers 👊,5.0 stars,digging these Dodger blue battery💥💥 just picked one up with matching lanyard dopeee🤙,"June 29, 2019"
50,Stillzy,5.0 stars,I love 💕 this it’s so discreet easy delivery easy to use I would give it 10 big stars if I could I stopped smoking flowers 🌺,"June 20, 2019"
51,Weed,5.0 stars,Lit,"May 21, 2019"
52,Hello,5.0 stars,It’s very bueno ! Haha,"May 15, 2019"
53,Revolutionary,5.0 stars,"Such a q t. This magnificent color, bold. Truly radiates warm benevolence in the user. Make your way down to SF, kindly. :)","May 04, 2019"
54,sickkkk blue,5.0 stars,i need this asap bruvvv dope ass color,"May 03, 2019"
55,very high quality 🛌,4.0 stars,I love the high this vape makes,"October 13, 2019"
56,They are fabulous!!,4.0 stars,I am very happy with the products.,"March 19, 2020"
57,Sucks,3.0 stars,Hey,"May 27, 2019"
58,Smart but going to get hurt,2.0 stars,Hard to pull feels like I’m going to collapse a damn lung cool idea tho.,"May 06, 2020"
59,50/50,2.0 stars,"Bought 2, 1 worked, one did not. Required bank intervention to get refund due to poor customer service. I want to like Stiiizy products but this makes it difficult to trust the brand.","May 05, 2020"
60,pretty decent oil but terrible battery,1 star,"This battery is horrible. cheap, low quality metal and it only stays charged for a few hours. no wonder they gave it to me for free at their patient appreciation.","November 11, 2019"
61,3/4 of these pens are defective,1 star,"I have purchased 3 defective pens from stiiizy, successfully exchanged 1. After the headache of the first exchange I just said F**** it and ate the next. As a medical patient, this really sucks. It took over a month to deal with customer service, and ended with my bank stepping in because of stiiizys bad business. unbelievable. I couldn't make this crap up.","June 21, 2020"
62,Overrated,1 star,I have had so many of my friends tell me that this is the best one on the market..... I can assure you it isn't. The packaging looks cheap and the weed is just ok.,"June 20, 2019"
63,Stiiizy Battery Defective,1 star,"Bought a replacement battery since my last one stopped working. This battery stopped working just like the one before. The micro usb does not charge, no light shows when it’s plugged in. I’ve had it just about two weeks.","February 06, 2021"
64,The best for a discreet yet stylish high,5.0 stars,"Honestly as a parent at times you need something to help you decompress. As the kids became older it became harder to explain why mommy and daddy had to take walks outside in turns to ""get some air"". These have become out life savers. Get some nice relaxation in, all without smelling. We still take our walks to get air BUT these hit so hard that it only takes a few minutes outside and no mess! Love you Stiz","January 23, 2019"
65,Rose Gold Everything,5.0 stars,"But seriously, besides being absolutely adorable, this pen is perfect! I’m super clumsy and am constantly dropping my vape pens. Several times I’ve broken a full cartridge, but with this design, it’s really difficult to drop it at an angle that would break. It’s also lightweight and discreet, it’s small/ slim enough to fit in even small pockets or a wallet. Another problem I’ve encountered with other pens is having to replace the batteries more times than I can count because the plate get pushed into the battery over time from over tightening when charging or connecting cartridges, but again, this design allows you to just drop the cartridge in, and it charges like a phone, solving both issues. I love it!","August 28, 2018"
66,I love it!!!,5.0 stars,"I love how it looks with my freshly done manicure, I love how it looks when its just sitting on my counter, I love how it looks ALWAYS!! Im glad i treated myself with this.. she's gorgeous and discreet. Blows gorgeous Kush Clouds too btw.. I tried strawberry cough and fell in love! Cannot wait to try them all!!","September 06, 2018"
67,Love Stiiizy,5.0 stars,"Dopest, sleekest, battery by the brand. Stiiizy's really supporting Breast cancer awareness with this one.","December 22, 2019"
68,Great product,5.0 stars,"Stiizy is a really good product and helps me with even my worst pain, its my First and only pen. Hope they have plans in the future for a “ACDC” or “Harlequin” High CBD Low THC Cart!","June 06, 2019"
69,ADORBS,5.0 stars,"couldn’t wait to come back to LA & get my first STIIZY. & of course I wanted the rose gold, so sleek & lady like. I have no plans to go back to other pens that i’ve used in the past. only thing i would possible want is a case? something small & compact that I can put it in to protect it while it’s in my bag. other than that, i am sold! customer for life 🙌🏽","May 23, 2019"
70,Love it!,5.0 stars,"Had an og Black one, bought this pink! It’s cute, love it because the hubby has his black so we alway know who’s is who’s. Lol! Clean hits and charges fast! Definitely my fave!","May 09, 2019"
71,"Great pod battery, very nice color",5.0 stars,"So, as for a general review of the battery, it's really good! It has a nice, discreet form factor, superb build quality, a battery that lasts for a good while and the pods fit perfectly into their slot and look very sleek. It works great with all Stiiizy pods, even the live resins. Now, as for the color, it's a very nice pastel pink with a smooth, matte metal surface. It's a really nice, calming color that's also a bit easier to find when you're looking your battery to take another hit.","July 23, 2021"
72,Stizzy pods !!!!,5.0 stars,Blaze delivers stizzy pods and batteries 🔋 !!! 40$ for thé set and delivered sounds dope and they’re fast 💨,"November 20, 2020"
73,Rose All Day,5.0 stars,"It’s something for the summertime ! Super Smooth, but packs a punch. This may be a bias review because I love Rose anything and Stiiizy never disappoints. Great flavor, Great rip.","July 24, 2020"
74,yes,5.0 stars,"aesthetically pleasing, produces huge clouds, discreet, and I love that the pods dont leak/clog. Pods are potent and the whole system makes for an amazing on the go vape.","September 26, 2018"
75,Charger just died after year 👌🏾,5.0 stars,Big Smokeee 🗣 Gasss👾 ig@pertbydalb follow n show 👾❤️,"November 16, 2019"
76,Beaut,5.0 stars,Good,"September 25, 2019"
77,Best decision I ever made,5.0 stars,These pens are the fucking best! They are so smooth when you hit it,"September 20, 2019"
78,IN LOVE !!,5.0 stars,Got that little bad boy yesterday and it hits so smooth and the carts are QUALITY!!,"April 21, 2019"
79,bomb kit,5.0 stars,just got one love these pens it hits,"March 30, 2019"
80,The shit,5.0 stars,The shit? Wow mean the shit! Damn the shit is bomb?!,"September 01, 2018"
81,Bomb,5.0 stars,Love this place. Always in stock and always got the bomb.,"August 17, 2018"
82,This starter kit is soooo cheap!,5.0 stars,This starter kit is soooo cheap! Cant wait to get one!,"March 15, 2022"
83,I just love the color!,5.0 stars,Very cute color! I just love pink! Very nice design and feels light but durable.,"March 08, 2022"
84,💖,5.0 stars,had it for almost a year and i love it <3 saw a review saying that their pen died after a year so i'm hoping that doesn't happen to me 😰🤞,"March 05, 2022"
85,Great products &,5.0 stars,Explendid customer service,"December 14, 2021"
86,Love it!!,5.0 stars,"Perfect size to put in my pocket, and really cute :)","October 26, 2021"
87,I'm sure this won't break,5.0 stars,I'm sure this won't break by the way it feels on hand.,"September 29, 2021"
88,The color!!!!,5.0 stars,"Attracted to this coz it looks elegant, solidly built too!","March 31, 2021"
89,love my stiizy!!!!,5.0 stars,nice and discreet!!! love the color and the feel,"November 08, 2020"
90,Glad I went with this one 😍,5.0 stars,I was having a bit of a hard time trying to decide which color to get. I thought I had picked the rose gold at the counter but I'm not trippin cos I really like this color and I'm happy even if it was a mistake cos this one is perfect...the purple seemed s bit too bright and the rose gold not girly/pink enough for what I was looking for. Perfect shade of pink because it's pretty discrete and is overall just a very classy color. Super lightweight so I can see how people tend to loose their pens really easily especially if you're hi af 😂 Glad I ended up picking up s stiiizy system cos (so far) I'm very happy with it since I also got it on Saturday when the batteries and pods are 20% off so it was $60 for the battery and 2 .5 gram pods 👍,"June 15, 2020"
91,,5.0 stars,"I quite like the stiiizy system. The carts taste better than a lot of 510 carts ive tried, although there are tons of brands that make 510 carts vs only 1 for stiiizy. The pros of this are that every stiiizy cart you buy will be pretty good because they all are made by the same company and that company happens to be pretty good. Another pro is that the carts arent too pricey, but this varies depending on where you are and what dispensary you are shopping at. The last pro ive noticed is that the stiiizy carts seem to last a long time, idk if its because a lot of 510 thread carts are under filled or something, but i got a half gram stiiizy cart to start out and i have been hitting it non stop and it has easily lasted a longer time than all 510 half gram carts ive ever had. And it looks like its still half full. The cons of this product are that there is only one brand that makes carts, so if the quality starts to drop then you cant just switch brands and keep using this battery.","April 17, 2020"
92,💎,5.0 stars,nice color,"December 07, 2019"
93,Platinum Rose,5.0 stars,Beautiful you need to get this color!,"September 27, 2019"
94,Love the color!,5.0 stars,"Slim, perfect, and love how its discreet.","August 17, 2019"
95,Nice!,5.0 stars,"It’s pretty cool , nothing abnormal or different from others , but I like how sleek, classy , & lightweight it looks","July 15, 2019"
96,Love it,5.0 stars,Obsessed 💁🏼‍♀️,"June 29, 2019"
97,sweet,5.0 stars,love this,"April 23, 2019"
98,Genius,5.0 stars,Simple and clean look. Doesn't look obnoxious nor make you look obnoxious.,"March 28, 2019"
99,Best vape,5.0 stars,One of the best capes I’ve had and it’s such a convenient size to stick in your pocket and go about your day,"March 25, 2019"
100,good penz,5.0 stars,like these super low key,"March 20, 2019"
101,my stiizy,5.0 stars,best prods in that side of town #1,"March 08, 2019"
102,this is good,5.0 stars,this is sooooo good and it really works,"March 03, 2019"
103,good cart,5.0 stars,bomb perfect vape,"February 28, 2019"
104,Best Vape I ever had,5.0 stars,The Best for me so far!!,"February 19, 2019"
105,Stiiizy’s starter kit,5.0 stars,Mike gave great customer services and flawless products. Is very polite and professional.,"February 18, 2019"
106,💕 my Stizzy,5.0 stars,"Just got mine today and I'm officially in love! Discreet, cute, hits great & can fit in my wallet. #Winning. I chose #PineappleExpress as my first cartridge.","February 10, 2019"
107,Girly and Perfect,5.0 stars,This pen looks and works so good! it's perfect for my girly lifestyle and its so discreet. 10/10,"December 27, 2018"
108,feeling it,5.0 stars,these like iPhones for vapes does such a good job and looks good,"December 20, 2018"
109,Awesome,5.0 stars,This thing is awesome. Are used to have a PAx and I hated it. This thing kicks PAX ass. Cartridges are half the price. the oil is amazing.,"December 11, 2018"
110,❤😘,5.0 stars,I was so determined to get this color and I'm so happy I waited!! It really looks better in person. I got pineapple express for my first pod and I wasn't expecting to hit so good. Definitely recommend!,"November 07, 2018"
111,Best battery,5.0 stars,I love the stiiizy rose color battery! A little more expensive than other cartridges but worth it. It’s so discrete and I love the color.,"November 06, 2018"
112,Love,5.0 stars,It matched with my phone and it’s super cute.,"November 02, 2018"
113,Rose Gold in the House,5.0 stars,"I love my rose gold Stiiizzy. I also agree, Strawberry Cough is an amazing sativa. My highs last pretty long and that makes me happy. I get things done and I feel creative.","October 25, 2018"
114,Beautiful Pen,5.0 stars,Love 💕,"October 16, 2018"
115,love it,5.0 stars,"the best pen got a few colors rose, blue and black. they all work good","October 07, 2018"
116,Availability,5.0 stars,I had tried their products while I was out in Cali & loved it. They definitely need to bring their product over to D.C & Maryland Dispensaries!!,"September 25, 2018"
117,Help,5.0 stars,I want to order??,"September 17, 2018"
118,FACK CANCER,5.0 stars,Dope finish! I'm rocking the Rose w/black lanyard. Vice versa. The ROSE finish is platinum!😉😁😂🤣😎,"August 17, 2018"
119,Treated myself 💖,5.0 stars,"Treated myself with this little guy, it’s so small, sleek and lightweight! The color is so elegant and modern, hits beautifully and I definitely recommend.","August 07, 2018"
120,So cute!,5.0 stars,I love my pink battery. It almost looks silver in the sun and is very light and cute!,"August 07, 2018"
121,So Feminine and Classy,5.0 stars,"The pen is gorgeous in person and feels pretty to hold, but is a bit slippery.","August 06, 2018"
122,🔥🔥,5.0 stars,💕💕🔥my girl loves it,"July 30, 2018"
123,Disappointing,2.0 stars,"I have been using batteries for years and this was my First Stiizy purchase. I am SO DISAPPOINTED with this particular battery, the magnets used to hold the Hella expensive pods are WEAK!! The first day I had it I stored it in my bra, this is where I put all of my batteries when I don't have pockets. Anyways, ran several errands and when I pulled the battery out to hit it. There was NO pod attached, It had fallen off and I didn't even notice!!!!! $50 gone!! Come on Stiizy, this is a joke. The quality of the oil is hands down Bomb asf BUT for their price you need to do Better with the batteries!!!! I have another brand of battery and the magnetic is so Strong that I've NEVER lost a cart or even have it come detached from the battery even after dropping several times. I'm now a little uneasy about buying more pods for fear of them falling off. I don't have money to be throwing away. PLEASE Stiizy, do better and change the Structure and Quality of the batteries.","February 22, 2022"
124,The battery doesn’t work,1 star,The battery will charge red and show it being dead but after the 45-60 minute time period it will still be dead and won’t even turn on white when hitting with pod,"November 12, 2022"
125,Great battery cute colors,5.0 stars,"It’s a nice battery I like how it charges with an android charger so if it dies on me I can get ahold of a charger pretty easy, easier than it would be if it was the standard 510 thread charger . I love how it’s available in different colors . Just wish more cartridges were compatible with this battery .. but all in 5 out of 5🤗","April 08, 2019"
126,Omg I love it ❤️❤️❤️❤️,5.0 stars,Just picked it up today for $20 way out in the middle of nowhere. Just happened to be in the right place at the right time!!! Plus orange is my favorite color 🧡🧡🧡,"November 01, 2018"
127,Awesome Pen!,5.0 stars,"Quick charge, reliable hit, and good design; I’ve recommended it to multiple people who also love it.","August 14, 2019"
128,Best Vape Battery I have,5.0 stars,I've got four batteries and this one is easily the best. So easy to charge with the chord provided; it takes around an hour to fully charge again. They are also pretty sturdy and can take moderate abuse.,"January 16, 2019"
129,MCLAREN VIBES 🔶️🔥,5.0 stars,AFTER LOOSING 5 BLACK BATTERIES I DECIDED TO GO WITH A MORE VIBRANT COLOR AND THIS ONE WENT BEYOND EXPECTATION 💯💯👍👍,"December 31, 2018"
130,Pumpkin Pie,5.0 stars,Yall really gonna drop this after Spooky Season is over 🎃👻🤧,"October 30, 2018"
131,Too good to pass,5.0 stars,"Can y’all send Church is Life in Fullerton, CA some. I need this color","October 26, 2018"
132,"Good device, good device good device",5.0 stars,"Good device, good device good device, Good device, good device good device","July 30, 2022"
133,lightweight pen!,5.0 stars,"I really enjoyed this pen, I’d recommend this for its lightweight!","March 22, 2022"
134,Love the design! Plus its my favorite color!,5.0 stars,Love the design! Plus its my favorite color!,"March 04, 2022"
135,Decent thats it,5.0 stars,"No issues, Orange is poppin! Decent that's it!","November 15, 2021"
136,Good device,5.0 stars,My device for the past few months. All good!,"October 30, 2021"
137,Never had an issue with the device,5.0 stars,Never had any issues with this,"September 15, 2021"
138,Great device,5.0 stars,Satisfied! Solid solid device,"September 15, 2021"
139,🔥,5.0 stars,i usually dont like orange but this looks like a gtr orange,"December 07, 2019"
140,Good stuff,5.0 stars,Very well built,"November 03, 2019"
141,Dope,5.0 stars,Dopest color so far!,"December 07, 2018"
142,Great Selection,5.0 stars,Nice place! Nice set up! Huge selection. Staff is well versed in products,"December 07, 2018"
143,Hhhh,5.0 stars,Hjjj,"November 16, 2018"
144,awesome,5.0 stars,skin looks amazing,"November 13, 2018"
145,🔥🔥,5.0 stars,Does Anyone know where to get one OC area?,"November 02, 2018"
146,Fr,5.0 stars,Why they gonna drop the orange stiizy after Halloween,"October 30, 2018"
147,Kushagram needs these,5.0 stars,ASAAAPPPPP,"October 28, 2018"
148,Neeeeeeed!!!!,5.0 stars,Where they at? Les get em out there🧡🔥🍊,"October 26, 2018"
149,Pumpkin L🧡ve,5.0 stars,Ahhhhh yaaaaas! 😍🧡,"October 26, 2018"
150,Greattt,5.0 stars,Greatttttyt,"October 26, 2018"
151,A must have,4.0 stars,"This pen is cutting edge and the best for me so far. Sleek and powerful this battery lasts me a week on two short charges. The charging port is an android charger which is very convenient. The cart is magnetic which I also like. I still have my “can” pen since I haven’t been able to find another brands making carts for stizzy pens. My tender hooked me up with a nice Stizzy bag and lanyard. The lanyard came with a stizzy pen rubber holder so I don’t lose my pen, which apparently happens since they’re so slim and small. Maybe a find my pen app? Need help contact me.","April 30, 2019"
152,good buy,4.0 stars,low key they hi key pens just wish battery lasted longer,"June 16, 2019"
153,Cool design,3.0 stars,"Great design. It feels awesome in my hand. But, invest in this only when you are ready to leave all others behind. 510 threads are everywhere, making them very easy to switch and try new varieties. The pod is better preforming, but limited to certain brands. So, are you a Stiizy person? I am not a brand person, because each oil brand has given me both positive and negative experiences, so I like to shop around. With this battery, I can only buy their products. That would be cool if their product was premium, but even the bud tender suggested a different brand. I just had to try it for myself.... it’s not premium, it just tastes great. Now I have a battery that I might never use again, unless I decide to give your oil another chance.","December 10, 2019"
154,👸,3.0 stars,Did the job,"November 07, 2019"
155,looks nice,2.0 stars,got one on the first of the month what I like about it is that it's small and easy to hit my biggest complaint about the pin is that I have to charge it every other day and on top of that the cartridge I got witch was hard core og don't taste good at all to further note that all of my other pins that I have I can smoke a full gram before I have to charge them what's up with that,"November 04, 2019"
156,don't waste your time,1 star,the battery is going to cartridge last about 5 times then it will,"November 20, 2018"
157,Stiiizy Camo Kit,5.0 stars,The camo finish feels as if it’s slip resistant. A lot less likely to slip out of my hand than my red one. 👌🏻,"February 20, 2020"
158,Fire 🔥 👊🏼,5.0 stars,I love this battery just wished I had the bigger one haha,"March 01, 2023"
159,Quality Product,5.0 stars,Camo finish looks amazing and feels great in the hands. Long lasting battery. 100%,"May 05, 2020"
160,"Lost my device, Got this, love how it looks",5.0 stars,"Lost my device, Got this, love how it looks and i can vouch for its durability","October 15, 2022"
161,Fits my style,5.0 stars,"The camo colorway fits my style!, besides that this works as advertised. No issues","March 31, 2022"
162,This starter kit is amazing! Love the design!,5.0 stars,This starter kit is amazing! Love the design!,"March 23, 2022"
163,I got this cause the camo design rockkksss,5.0 stars,I got this cause the camo design rockkksss! Build quality is... well premium. Feels solid on hand,"March 15, 2022"
164,Best looking of the bunch,5.0 stars,"Best looking of the bunch. I mean that's not just my opinion, i usually get compliments on how nice this looks","March 15, 2022"
165,Love the cameo style,5.0 stars,Love the cameo style of the pen! Will probably get one for my brother!,"March 07, 2022"
166,You gotta say this got style,5.0 stars,You gotta say this got style,"February 15, 2022"
167,Fire design,5.0 stars,"Fire design, I don't think you can dislike this","November 30, 2021"
168,I like this one,5.0 stars,"Looks great, feels premium! Works well.","November 11, 2021"
169,Eye catching,5.0 stars,"I like the whole camo thing, certainly eye catching. Device works as expected.","October 30, 2021"
170,The Traskmaster approves of how this looks!,5.0 stars,The Traskmaster approves of how this device looks!,"October 30, 2021"
171,deserves more love,5.0 stars,Now this here device deserves more love!,"September 30, 2021"
172,All in on that camo design,5.0 stars,Something about the Camo design speaks to me,"September 15, 2021"
173,Solid device and works well,5.0 stars,"Works perfectly, love the looks on this one. Solid device","August 25, 2021"
174,Great!,5.0 stars,"Works well, battery lasts long and that camo looks great!","August 15, 2021"
175,Does the job,5.0 stars,"I prefer bigger Stiiizy batteries, but if you want something more portable and lowkey, this does a pretty good job. Love the design!","April 27, 2021"
176,Loved the Camo design,5.0 stars,"I love this design! Build quality is great as well, but it's the Camo that convinced me to grab this!","March 10, 2021"
177,very good,5.0 stars,"the taste is a bit ugly, but good stiiizy","February 20, 2021"
178,Awesome,5.0 stars,Makes an awesome product from the battery to the cartridges I see a lot of people on here say the cars go fast 510 Last me two days a pod last me almost 3 sometimes four,"January 08, 2021"
179,stizzy,4.0 stars,"love mine i should’ve purchased sooner, hits well and carts are affordable. bad thing is that it seems like it does go through carts quite a bit faster than a regular 510 battery does. shouldve got the orange or any bright color instead tho bc it blends in with everything so i lose this one all the time😂","March 29, 2020"
180,You know my STIIIZY!,5.0 stars,"Poor rating for the batteries yall. Just take care of your batteries. Keep your rubber tops for the bottom of your batteries as well as for the top and bottom of your carts ya digg!? Lord knows how much crap can end up in pockets. Don't OVERCHARGE! It doesn't take long sheesh. Been rockin 2 black batteries since. Now I'm rockin the Rose w/ the black lanyard. My next one is going to be a Red battery for my Sats! Fasho! The finish on these batteries are so amazingly done. I might just get a blue one for those evening Indies. Cant hurt to have back ups. They normally last me a couple days before I have to recharge. Brids are on the Rose and on the rise. Ha ha! .... Sorry I had to do it... It's about color coding too people. On the carts I use red, green, and purple sharpies to fill in the lines but for the most part my tastebuds know my favorite kines. You know what would be dope tho is if the lines where color coded red, green, or purple. JGEAH! You know my STIIIZ!","August 17, 2018"
181,Second Helping,5.0 stars,I bought a blue one a week ago and have had that time to use it every day. I’ve been researching different strains and flavors and just ordered more cartridges and a second [red] Stiiizy battery as a backup/spare. I love the gentle hits I can take and I feel like I can better control my dosing. Happy,"April 29, 2019"
182,Beautifully convenient,5.0 stars,"This pen is so slick and portable I take this thing everywhere. I still live by other cartridge, wax, etc. pens, but this makes the vaping so effortless. The pods can switch instantly, they attach to the pen magnetically. The pen itself is only on when you breathe thru it, no buttons. The pods seem to last quite a while, don't need to breathe in long to get a decent hit. 10/10 my dude","August 05, 2018"
183,Love it,5.0 stars,Love the color and how quickly it charges.,"February 14, 2019"
184,Great,5.0 stars,I have silver and red. They do charge fast and seem to last a good long time. I use them with live resin pods and they work very well.,"April 14, 2021"
185,🔥,5.0 stars,This is my first stiiizy battery and my opinion on this is that the color is sexy asf!!!😍 I love how it’s simple asf and it’s pocket sized and you can take it anywhere. I truly recommend this for starters who like red.🍒❤️,"February 23, 2020"
186,Not too shabby,5.0 stars,I don’t really like pods because it limits you’re selection but I did however like the convenience of it . Would recommend!,"January 14, 2020"
187,Looking for some,5.0 stars,In Hawaii and tryna get ahold of some of them! If you can help that would be great!,"January 13, 2019"
188,#staystiiizy,5.0 stars,At hash bash 2023 and I found a stash n grab bag in the tree lmfao n the gifts was amazing that was in it!!! I will be looking for more stash n grab bags next yr!!! THANK UOU STIIIZY FOR THE FREE GIFTS!!!,"April 10, 2023"
189,good product,5.0 stars,great! device i ordered works perfectly 10/10,"April 30, 2022"
190,missing half of your life,5.0 stars,"If you guys dont get one for yourselves, you missing half of your life","March 23, 2022"
191,surprise!!!,5.0 stars,My bestfriend was surprised when I got him this for his Birthday!,"March 07, 2022"
192,I was proven wrong,5.0 stars,I went to check to see what the buzz is all about cause I thought it's just another fad and boy I was proven wrong with your products,"November 30, 2021"
193,Best investment I've made,5.0 stars,Investing on STIIIZY's starter kit is the best investment I've made far as the product's great!,"November 30, 2021"
194,Starters,5.0 stars,Another set of starters for me.,"November 14, 2021"
195,Redddd,5.0 stars,A sleek type of pod and decent design. I love the flashy red color. Most of all a good starter kit.,"November 13, 2021"
196,like a sleek sportscar,5.0 stars,It’s not bad. It works fast and charges my vape in no time,"November 11, 2021"
197,Mr. Red,5.0 stars,Hello mister red....,"October 31, 2021"
198,Everything seems to work ok,5.0 stars,Everything seems to work ok,"October 30, 2021"
199,sleek,5.0 stars,Pretty sleek product!,"October 30, 2021"
200,Makes me think of Ferrari red,5.0 stars,Makes me think of Ferrari red. Perfect device for me.,"October 30, 2021"
201,great taste,5.0 stars,"taste like watermelon, good pod","October 30, 2021"
202,Fab device,5.0 stars,"Fab device, fashionably red, fashionable like me. Works pretty well. never had any issues and as I said, this looks pretty good on hand.","October 30, 2021"
203,Device works perfectly,5.0 stars,Device works perfectly,"October 15, 2021"
204,Love this,5.0 stars,Love this little guy. It’s so convenient and relaxing.,"October 09, 2021"
205,Great starter build,5.0 stars,"Not bad for starter kit. Great build, love the color and design.","October 07, 2021"
206,Red all the way,5.0 stars,Matches with my product red Iphone and just as reliable!,"September 29, 2021"
207,Works well and decently priced too,5.0 stars,Why this isn't as popular as the black device is beyond me. Red looks awesome,"September 15, 2021"
208,My first device,5.0 stars,My first device from Stiiizy - still working a few months in,"September 15, 2021"
209,Great looking device,5.0 stars,"Feels well built in the hand, love the red finish. Classy","August 30, 2021"
